ID,username,date,text
1,在永无乡,2022年02月03日 23:28,大晚上看刘学州看哭了，还有心思去照镜子自恋一下（类似脸通红鼻子通红的楚楚可怜），自恋死我算了 ​
2,流转迂回,2022年02月03日 23:20,#刘学州# 2保定·曲阳县 ​
3,唇舌指尖滑过的欢爽,2022年02月03日 23:19,我发表了头条文章:《我试着去读懂15岁寻亲男孩刘学州的心声》 O我试着去读懂15岁寻亲男孩刘学州的心声 ​
4,今天的星星比较亮,2022年02月03日 23:02,我总在想，那么缺人，想尽一切办法让人生孩子，却不珍惜他们。刘学州，刘玉琨，还有那个栓在地下室三年的上海男孩，说的过分一点，他们甚至都是男孩子，但再想想他们不是缺人只是缺廉价劳动力，社畜社畜真的是拿你当畜生使 ​
5,墨筱沫1117,2022年02月03日 23:00,#徐州丰县生育八孩女子##徐州丰县生育八孩女子#22年了，新春佳节的我们不止恐婚恐育，还要防网络暴力，刘学州的人渣父母没人管，徐州丰县八孩的母亲也没人管，我们课本里面记了好多好多年的人民当家作主，为人民服务。可当这个世界上某一个角落有阴暗事件发生的时候，一个有钱有能力的人出来发声都没有 ​  展开c
6,晴天奕悠悠,2022年02月03日 22:57,#刘学州#傻孩子，新年快乐！ ​
7,清远小哥哥,2022年02月03日 22:47,#刘学州# 在熟悉的店，再也看不见你的身影 2三亚·阿椰伯清补凉(胜利旺豪店) L用户7690256675的微博视频 ​
8,蜡笔小球ladys,2022年02月03日 22:34,新年第二天。就和我的所谓的亲妈吵架了。她说我自私。亦不知道是谁自私。一生下我是女孩。就想扔掉，从小到大。从未尽过一点父母的职业。我好像就是第二个刘学州。一直隐忍，终究还是没憋住。@刘学州a L蜡笔小球ladys的微博视频 ​
9,水墨渲染至溪边,2022年02月03日 22:25,新年第一条微博，祝刘学州和墨茶新年快乐！墨茶，我送哩草莓你应该收到了吧，好吃的很，而且现在有很多人都有给你送草莓，你不用花钱还可以吃到饱，还有啊，我的饺子请你吃啊！刘学州，咱俩也算是老乡，老乡祝你新年快乐！开开心心过大年啊！ ​
10,樱花娱乐馆,2022年02月03日 21:54,太可惜了痛心啊！刘学州  L樱花影视馆的微博视频 ​
11,l呢了立倒再会不熊松轻望希,2022年02月03日 21:51,#刘学州# 多积极向上的孩子呀 ​
12,CallmeFeb,2022年02月03日 21:40,看完《开端》感想有几点1.我不觉得陶映红是精神病人，她是一个负责任的好母亲。较真，求真相。不被社会舆论所左右，坚持追求自己坚信的真相。警方调查没得到真相，她无法释怀。她才是活着比死了更痛苦的人。2.网络暴力太可恶。匿名就能让你对自己的言论丝毫不用负责任了吗？网络暴力害死了多少人，前 ​  展开c
